Class,Contrast,DM,Energy,IDM
0.0,204830709148844.28,249694526023.31,298252.0,1445500.97
0.0,22174060654444.88,40505962538.99,111849.56,559480.69
0.0,52443232780277.12,85394158565.35,181709.9,856904.2
0.0,37057388219634.1,65682827284.7,163615.13,751322.28
0.0,16807980845927.23,33402121426.61,111845.33,581905.76
0.0,43758744578150.46,73094373823.88,165517.38,842854.19
0.0,11942628980575.11,25704234389.4,93586.77,470735.13
0.0,20513402451692.06,38797709090.41,111278.67,532549.26
0.0,15102324725720.52,31577264888.63,109647.73,544777.69
0.0,10740931335197.92,23743937899.69,88178.7,436973.59
0.0,61783756342173.38,93578219765.84,177924.15,912275.65
0.0,14754801974533.1,30096815603.53,99737.7,499909.9
0.0,19799915243599.86,36390335546.58,98601.06,511025.92
0.0,50680616090065.3,79420960017.39,167911.32,836976.07
0.0,142930083020493.47,173729308415.21,210194.8,1204786.32
0.0,18455296958362.66,37475076687.79,123926.74,616873.78
0.0,191061625032692.62,225468990885.62,250759.23,1369995.15
0.0,15853184205728.75,33512399779.07,114506.65,568314.85
0.0,19780878792946.61,37621612846.47,106563.79,519511.86
0.0,23866567998309.91,45555919834.42,135546.91,668004.92
0.0,63184287095574.4,91807841955.56,160712.55,833972.61
0.0,23537745421854.69,43387582567.19,113938.78,615404.31
0.0,2326824357332.33,6841081444.77,46913.65,241200.35
0.0,43788102352680.0,71397535281.59,159268.6,810642.96
0.0,56953105877221.42,87452428416.89,168091.31,868482.8
0.0,4758677553325.82,11970225996.34,66324.43,331804.79
0.0,130647814428602.78,163720931913.62,213769.92,1083475.05
0.0,19037077036168.1,36798770786.14,109301.18,562932.18
0.0,74969216241764.72,119469899140.36,241674.51,1125485.36
0.0,147298374585618.03,189226896410.24,254118.01,1287438.7
0.0,67256273624095.67,100091057543.67,179961.72,931970.97
0.0,98300053922627.98,128448574708.14,182110.14,970974.62
0.0,23743833884970.58,45204192417.74,132770.37,647044.26
0.0,136650881602058.52,174858627021.73,230695.37,1237183.87
0.0,10153546382187.03,22547125838.9,89539.02,447921.46
0.0,271601460263490.47,302774349376.33,314694.28,1585605.88
0.0,18672970960650.02,38523321143.24,124451.18,586388.98
0.0,85286219882535.69,122021446507.8,208711.72,1005641.95
0.0,17796384429068.54,36101047616.03,116081.19,552318.91
0.0,121286829514698.88,163514120782.7,238040.5,1258269.67
0.0,102014256855904.45,143026945552.76,226185.87,1163247.76
0.0,73501660907186.66,107722302541.81,191491.57,957133.38
0.0,5631967622709.36,14839598576.03,78043.56,389745.36
0.0,29158746635435.51,52232684921.86,136543.3,624038.92
0.0,26155632110410.14,46489443503.88,115946.32,573044.25
0.0,14967829290500.28,30272883013.41,99293.86,503871.34
0.0,2318888664073.85,7057992073.97,50006.99,252655.57
0.0,12484279686354.91,26391243557.15,96969.51,496255.4
0.0,11107453132750.46,23746232356.65,87147.87,417387.59
0.0,17762837747334.14,35616307643.7,115975.38,569776.03
0.0,40861494037744.7,68846357455.29,158488.25,745974.61
0.0,41639518284334.29,72256499691.43,174535.09,854959.5
0.0,37603428825591.22,61647694976.85,140434.36,678293.81
